Length,Recursion(ns),Loop(ns)
1,67079,35290
101,149619,102610
201,79200,86570
301,138149,145949
401,120500,121769
501,124749,133419
601,122109,126960
701,140520,149449
801,157709,170249
901,175660,192179
1001,190060,185369
1101,189059,174559
1201,223840,214060
1301,247220,231239
1401,234430,223440
1501,261880,267830
1601,308109,294050
1701,351969,326320
1801,341000,311800
1901,356380,337259
2001,705460,318030
2101,345040,326260
2201,360100,340989
2301,361899,363740
2401,381180,385429
2501,400140,379410
2601,475900,444500
2701,454010,443039
2801,454410,437160
2901,490300,448270
3001,538930,526670
3101,746760,792470
3201,1039809,908580
3301,952470,945499
3401,837989,916190
3501,748190,838910
3601,809910,941979
3701,940819,748500
3801,808869,832180
3901,954220,960030
4001,1040969,1051020
4101,950319,917830
4201,1050270,967949
4301,975609,939150
4401,1025220,1028150
4501,1332770,1628230
4601,1181600,1065240
4701,1257400,1110699
4801,1250199,1850920
4901,771169,730979
5001,786569,764559
5101,768419,727609
5201,802009,761810
5301,811390,763069
5401,1009720,867800
5501,884380,806880
5601,897750,833500
5701,881720,810489
5801,869069,855769
5901,889540,836920
6001,971559,892119
6101,952090,912459
6201,961609,897610
6301,988000,997160
6401,990789,933339
6501,1028569,974829
6601,1373509,996020
6701,1031810,976320
6801,1100780,1004210
6901,1126660,1142610
7001,1140179,1062220
7101,1142850,1088140
7201,1169910,1182159
7301,1169109,1120839
7401,1171779,1135320
7501,1198709,1101920
7601,1231850,1142519
7701,1246120,1158030
7801,1269650,1188260
7901,1321150,1255070
8001,1233609,1194030
8101,1275080,1450370
8201,1388330,1246819
8301,1277720,1213609
8401,1260730,1182159
8501,1331070,1250880
8601,1369999,1239770
8701,1312430,1236780
8801,1357350,1245630
8901,1371689,1289980
9001,1463490,1364980
9101,1396040,1420730
9201,1403170,1638730
9301,1459390,1362249
9401,1439550,1357440
9501,1434439,1375859
9601,1443370,1384609
9701,1523700,1427029
9801,1516130,1421560
9901,1567379,1462849
10001,1559299,1442729
